lon,lat,vs30,z1pt0,z2pt5,vs30measured
92.05170,21.74110,2.120000E+02,5.058215E+02,2.614480E+00,0
92.01560,21.46610,2.590000E+02,4.857640E+02,2.079211E+00,0
92.05910,21.55580,2.010000E+02,5.090740E+02,2.778800E+00,0
91.86250,21.83800,2.090000E+02,5.067571E+02,2.657457E+00,0
91.91950,21.60710,2.970000E+02,4.610755E+02,1.777789E+00,0
91.94470,21.81590,2.080000E+02,5.070608E+02,2.672078E+00,0
92.12030,21.43870,3.260000E+02,4.367399E+02,1.598058E+00,0
92.23700,20.96920,6.340000E+02,1.002629E+02,7.466610E-01,0
92.11530,21.22800,2.920000E+02,4.647894E+02,1.812657E+00,0
91.50650,23.02010,2.260000E+02,5.009439E+02,2.430041E+00,0
91.29990,22.97200,1.990000E+02,5.096140E+02,2.810772E+00,0
91.41580,22.99070,2.070000E+02,5.073603E+02,2.686851E+00,0
91.44160,23.11840,2.200000E+02,5.031400E+02,2.506006E+00,0
91.43840,23.20240,2.230000E+02,5.020622E+02,2.467475E+00,0
91.39680,22.85370,2.030000E+02,5.085185E+02,2.747503E+00,0
92.05900,23.41570,2.540000E+02,4.884205E+02,2.126101E+00,0
91.92260,22.95810,3.120000E+02,4.490791E+02,1.680354E+00,0
91.99830,23.15840,3.150000E+02,4.465269E+02,1.662059E+00,0
91.93100,22.78360,3.200000E+02,4.421613E+02,1.632383E+00,0
92.04940,22.98350,2.890000E+02,4.669493E+02,1.834199E+00,0
91.82670,22.85180,2.590000E+02,4.857640E+02,2.079211E+00,0
91.85490,23.16260,2.780000E+02,4.744315E+02,1.917460E+00,0
91.92450,23.34210,2.400000E+02,4.951671E+02,2.268569E+00,0
91.77610,22.95400,2.780000E+02,4.744315E+02,1.917460E+00,0
90.85370,22.75740,2.310000E+02,4.989878E+02,2.369963E+00,0
90.84380,22.91120,1.970000E+02,5.101389E+02,2.843441E+00,0
90.73150,23.00460,2.550000E+02,4.878998E+02,2.116565E+00,0
90.87270,23.09670,2.230000E+02,5.020622E+02,2.467475E+00,0
90.92220,22.62490,3.000000E+02,4.587787E+02,1.757466E+00,0
91.09420,22.93090,2.060000E+02,5.076559E+02,2.701777E+00,0
90.96370,23.05330,2.220000E+02,5.024259E+02,2.480195E+00,0
91.30070,22.75860,2.380000E+02,4.960502E+02,2.290391E+00,0
91.09140,22.34810,2.150000E+02,5.048482E+02,2.572788E+00,0
91.19930,22.81080,2.020000E+02,5.087982E+02,2.763068E+00,0
